=============  /home/uixbyu/testfpga/testfpga/FinalWork/result/andandlutdsp_res.csv  ============

netlist, abcNplb, abcLev, 
__avg__ ,                        -5.48, -22.5, 
sha ,                            -27.39, -19.05, 
ch_intrinsics ,                  -2.54, -33.33, 
stereovision1 ,                  2.88, -16.67, 
or1200 ,                         -8.5, -18.52, 
mkDelayWorker32B ,               -11.06, -20.0, 
mkPktMerge ,                     -0.85, -50.0, 
mkSMAdapter4B ,                  -14.28, -28.57, 
stereovision2 ,                  8.09, -18.75, 
stereovision3 ,                  -15.45, -25.0, 
LU8PEEng ,                       -11.86, -18.11, 
raygentop ,                      0.93, -25.0, 
blob_merge ,                     -9.26, -16.67, 
arm_core ,                       -3.76, -20.0, 
stereovision0 ,                  -0.85, -20.0, 
diffeq1 ,                        3.1, -20.0, 
boundtop ,                       -1.26, 0.0, 
diffeq2 ,                        6.3, -21.43, 

=============  /home/uixbyu/testfpga/testfpga/FinalWork/result/lut2lut2dsp_res.csv  ============

netlist, abcNplb, abcLev, 
__avg__ ,                        -6.91, -22.77, 
sha ,                            -29.12, -23.81, 
ch_intrinsics ,                  -2.97, -33.33, 
stereovision1 ,                  1.24, -16.67, 
or1200 ,                         -10.03, -18.52, 
mkDelayWorker32B ,               -11.06, -20.0, 
mkPktMerge ,                     -0.85, -50.0, 
mkSMAdapter4B ,                  -13.86, -28.57, 
stereovision2 ,                  3.35, -18.75, 
stereovision3 ,                  -15.91, -25.0, 
LU8PEEng ,                       -12.87, -18.11, 
raygentop ,                      0.36, -25.0, 
blob_merge ,                     -16.6, -16.67, 
arm_core ,                       -6.1, -20.0, 
stereovision0 ,                  -0.8, -20.0, 
diffeq1 ,                        1.38, -20.0, 
boundtop ,                       -1.26, 0.0, 
diffeq2 ,                        5.33, -21.43, 

